,country,year,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,living_condition,head_of_household
13425,Rwanda,2016,No,Urban,Yes,5,28,Female,Parent,Single,Secondary education,Remittance Dependent,Never Married,No
13426,Rwanda,2016,No,Rural,Yes,6,31,Female,Spouse,Married,No formal education,Informally employed,Living together,No
13427,Rwanda,2016,No,Rural,Yes,6,17,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
13428,Rwanda,2016,No,Urban,Yes,3,41,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13429,Rwanda,2016,No,Rural,Yes,3,67,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13430,Rwanda,2016,Yes,Rural,Yes,4,41,Male,Head of Household,Married,Secondary education,Informally employed,Living together,Yes
13431,Rwanda,2016,No,Rural,Yes,6,19,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
13432,Rwanda,2016,No,Rural,Yes,7,19,Male,Child,Single,Primary education,Farming and Fishing,Never Married,No
13433,Rwanda,2016,No,Rural,Yes,1,72,Male,Head of Household,Widowed,Primary education,Remittance Dependent,Widowed,Yes
13434,Rwanda,2016,No,Urban,Yes,4,16,Female,Child,Single,Primary education,Informally employed,Never Married,No
13435,Rwanda,2016,No,Rural,Yes,7,39,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13436,Rwanda,2016,No,Urban,Yes,5,23,Female,Child,Divorced,Secondary education,Remittance Dependent,Seperated,No
13437,Rwanda,2016,No,Urban,Yes,1,85,Female,Head of Household,Widowed,Primary education,Remittance Dependent,Widowed,Yes
13438,Rwanda,2016,No,Rural,Yes,1,54,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
13439,Rwanda,2016,Yes,Urban,Yes,1,25,Female,Head of Household,Single,Tertiary education,Formally employed Government,Never Married,Yes
13440,Rwanda,2016,No,Rural,Yes,6,46,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
13441,Rwanda,2016,No,Rural,Yes,4,31,Male,Head of Household,Married,No formal education,Informally employed,Living together,Yes
13442,Rwanda,2016,No,Rural,No,5,34,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13443,Rwanda,2016,No,Rural,Yes,4,34,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13444,Rwanda,2016,No,Rural,Yes,5,27,Male,Child,Single,Secondary education,Self employed,Never Married,No
13445,Rwanda,2016,No,Rural,Yes,3,24,Female,Child,Single,Secondary education,Farming and Fishing,Never Married,No
13446,Rwanda,2016,No,Rural,Yes,6,17,Male,Child,Single,Secondary education,Informally employed,Never Married,No
13447,Rwanda,2016,No,Urban,Yes,5,62,Female,Spouse,Married,Primary education,Remittance Dependent,Living together,No
13448,Rwanda,2016,No,Rural,Yes,3,24,Female,Parent,Single,Secondary education,Farming and Fishing,Never Married,No
13449,Rwanda,2016,Yes,Rural,Yes,4,46,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,Widowed,Yes
13450,Rwanda,2016,No,Rural,Yes,10,26,Female,Child,Single,Secondary education,Informally employed,Never Married,No
13451,Rwanda,2016,No,Rural,Yes,6,51,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
13452,Rwanda,2016,No,Rural,Yes,4,66,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
13453,Rwanda,2016,No,Rural,Yes,6,31,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13454,Rwanda,2016,Yes,Rural,Yes,5,41,Female,Spouse,Married,Secondary education,Self employed,Living together,No
13455,Rwanda,2016,No,Rural,No,3,76,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13456,Rwanda,2016,No,Rural,Yes,7,40,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13457,Rwanda,2016,No,Rural,Yes,5,35,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13458,Rwanda,2016,No,Rural,No,1,65,Male,Head of Household,Widowed,Primary education,Informally employed,Widowed,Yes
13459,Rwanda,2016,Yes,Rural,Yes,4,25,Female,Spouse,Married,Secondary education,Remittance Dependent,Living together,No
13460,Rwanda,2016,No,Rural,No,2,83,Female,Head of Household,Widowed,No formal education,Government Dependent,Widowed,Yes
13461,Rwanda,2016,No,Rural,No,1,74,Male,Head of Household,Divorced,No formal education,Farming and Fishing,Seperated,Yes
13462,Rwanda,2016,No,Rural,Yes,4,31,Female,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
13463,Rwanda,2016,No,Rural,Yes,3,53,Female,Head of Household,Divorced,No formal education,Farming and Fishing,Seperated,Yes
13464,Rwanda,2016,No,Rural,Yes,5,63,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13465,Rwanda,2016,No,Urban,Yes,3,49,Female,Head of Household,Widowed,Primary education,Remittance Dependent,Widowed,Yes
13466,Rwanda,2016,Yes,Rural,Yes,9,46,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,Widowed,Yes
13467,Rwanda,2016,No,Rural,Yes,3,30,Male,Head of Household,Married,Primary education,Self employed,Living together,Yes
13468,Rwanda,2016,No,Rural,Yes,3,25,Female,Spouse,Married,No formal education,Informally employed,Living together,No
13469,Rwanda,2016,No,Rural,Yes,2,79,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13470,Rwanda,2016,No,Rural,Yes,3,30,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13471,Rwanda,2016,No,Rural,No,2,64,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Widowed,Yes
13472,Rwanda,2016,Yes,Urban,Yes,6,45,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13473,Rwanda,2016,No,Rural,No,1,40,Female,Head of Household,Single,No formal education,Informally employed,Never Married,Yes
13474,Rwanda,2016,No,Rural,Yes,4,70,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
13475,Rwanda,2016,No,Rural,Yes,5,60,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
13476,Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married,No formal education,Informally employed,Living together,No
13477,Rwanda,2016,No,Rural,Yes,3,20,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
13478,Rwanda,2016,No,Rural,Yes,5,16,Male,Parent,Single,Primary education,Informally employed,Never Married,No
13479,Rwanda,2016,No,Rural,Yes,5,20,Female,Child,Single,Primary education,Informally employed,Never Married,No
13480,Rwanda,2016,No,Rural,Yes,6,42,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13481,Rwanda,2016,No,Rural,Yes,4,17,Female,Parent,Single,Secondary education,Informally employed,Never Married,No
13482,Rwanda,2016,No,Rural,Yes,5,36,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13483,Rwanda,2016,No,Rural,Yes,2,48,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
13484,Rwanda,2016,No,Rural,Yes,6,35,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13485,Rwanda,2016,Yes,Rural,Yes,5,34,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13486,Rwanda,2016,Yes,Rural,Yes,2,67,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13487,Rwanda,2016,Yes,Urban,Yes,4,28,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13488,Rwanda,2016,No,Urban,Yes,5,20,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
13489,Rwanda,2016,No,Rural,No,3,49,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13490,Rwanda,2016,No,Rural,Yes,3,78,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13491,Rwanda,2016,No,Rural,Yes,3,30,Female,Head of Household,Married,Primary education,Remittance Dependent,Living together,Yes
13492,Rwanda,2016,No,Rural,Yes,4,28,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
13493,Rwanda,2016,No,Urban,Yes,12,16,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
13494,Rwanda,2016,No,Urban,Yes,3,18,Male,Other non-relatives,Single,Secondary education,Remittance Dependent,Never Married,No
13495,Rwanda,2016,No,Rural,Yes,5,17,Female,Child,Single,Secondary education,Informally employed,Never Married,No
13496,Rwanda,2016,No,Rural,Yes,3,25,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13497,Rwanda,2016,No,Rural,Yes,3,27,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
13498,Rwanda,2016,No,Rural,Yes,3,71,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13499,Rwanda,2016,No,Rural,Yes,6,19,Male,Child,Single,Primary education,Farming and Fishing,Never Married,No
13500,Rwanda,2016,No,Rural,No,4,40,Female,Spouse,Married,No formal education,Informally employed,Living together,No
13501,Rwanda,2016,No,Rural,Yes,8,45,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13502,Rwanda,2016,No,Urban,Yes,7,38,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13503,Rwanda,2016,No,Rural,No,5,35,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13504,Rwanda,2016,Yes,Rural,No,5,50,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13505,Rwanda,2016,No,Rural,Yes,2,26,Female,Other non-relatives,Divorced,Primary education,Informally employed,Seperated,No
13506,Rwanda,2016,No,Rural,Yes,4,33,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13507,Rwanda,2016,No,Rural,Yes,2,68,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13508,Rwanda,2016,No,Rural,No,6,45,Female,Spouse,Married,No formal education,Informally employed,Living together,No
13509,Rwanda,2016,No,Urban,Yes,2,42,Male,Head of Household,Married,Vocational/Specialised training,Self employed,Living together,Yes
13510,Rwanda,2016,No,Rural,Yes,3,54,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13511,Rwanda,2016,No,Urban,Yes,6,19,Female,Parent,Single,Secondary education,Remittance Dependent,Never Married,No
13512,Rwanda,2016,No,Urban,Yes,6,18,Male,Child,Single,Secondary education,Other Income,Never Married,No
13513,Rwanda,2016,Yes,Rural,Yes,3,44,Female,Head of Household,Widowed,Secondary education,Informally employed,Widowed,Yes
13514,Rwanda,2016,No,Rural,Yes,4,30,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13515,Rwanda,2016,No,Rural,Yes,6,41,Male,Head of Household,Married,Secondary education,Self employed,Living together,Yes
13516,Rwanda,2016,No,Urban,Yes,7,20,Male,Child,Single,Secondary education,Farming and Fishing,Never Married,No
13517,Rwanda,2016,No,Urban,Yes,4,31,Female,Head of Household,Married,No formal education,Informally employed,Living together,Yes
13518,Rwanda,2016,No,Rural,Yes,3,25,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13519,Rwanda,2016,No,Rural,Yes,4,46,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
13520,Rwanda,2016,No,Rural,Yes,4,28,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13521,Rwanda,2016,No,Rural,Yes,5,19,Female,Child,Single,Primary education,Remittance Dependent,Never Married,No
13522,Rwanda,2016,No,Rural,Yes,5,40,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
13523,Rwanda,2016,Yes,Rural,Yes,6,80,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
13524,Rwanda,2016,No,Rural,Yes,6,20,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
13525,Rwanda,2016,Yes,Rural,Yes,5,35,Male,Head of Household,Married,Tertiary education,Formally employed Government,Living together,Yes
13526,Rwanda,2016,No,Rural,Yes,9,27,Female,Child,Single,Primary education,Farming and Fishing,Never Married,No
13527,Rwanda,2016,No,Rural,Yes,6,34,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13528,Rwanda,2016,No,Rural,Yes,7,32,Female,Spouse,Married,No formal education,Informally employed,Living together,No
13529,Rwanda,2016,No,Urban,Yes,4,46,Female,Spouse,Married,Secondary education,Informally employed,Living together,No
13530,Rwanda,2016,No,Rural,Yes,6,36,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13531,Rwanda,2016,No,Rural,Yes,10,23,Female,Child,Single,No formal education,Farming and Fishing,Never Married,No
13532,Rwanda,2016,No,Rural,Yes,5,45,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13533,Rwanda,2016,No,Rural,Yes,3,27,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13534,Rwanda,2016,No,Rural,No,4,34,Female,Spouse,Married,No formal education,Informally employed,Living together,No
13535,Rwanda,2016,No,Rural,Yes,1,24,Male,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
13536,Rwanda,2016,No,Rural,Yes,7,32,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13537,Rwanda,2016,Yes,Rural,Yes,6,47,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13538,Rwanda,2016,No,Rural,No,4,20,Female,Child,Single,Primary education,Farming and Fishing,Never Married,No
13539,Rwanda,2016,No,Rural,No,3,71,Male,Head of Household,Married,No formal education,Other Income,Living together,Yes
13540,Rwanda,2016,No,Rural,No,4,19,Male,Child,Single,Primary education,Informally employed,Never Married,No
13541,Rwanda,2016,Yes,Rural,Yes,6,43,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
13542,Rwanda,2016,No,Rural,Yes,3,65,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
13543,Rwanda,2016,No,Rural,Yes,8,51,Male,Head of Household,Married,No formal education,Informally employed,Living together,Yes
13544,Rwanda,2016,No,Rural,Yes,5,35,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13545,Rwanda,2016,No,Urban,Yes,3,60,Female,Head of Household,Widowed,Primary education,Informally employed,Widowed,Yes
13546,Rwanda,2016,No,Rural,Yes,3,52,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
13547,Rwanda,2016,No,Rural,Yes,7,18,Male,Parent,Single,Primary education,Informally employed,Never Married,No
13548,Rwanda,2016,No,Rural,Yes,3,52,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13549,Rwanda,2016,No,Rural,No,3,31,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13550,Rwanda,2016,No,Urban,No,3,27,Female,Spouse,Married,No formal education,Formally employed Private,Living together,No
13551,Rwanda,2016,No,Rural,Yes,6,42,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
13552,Rwanda,2016,No,Rural,No,3,40,Female,Head of Household,Widowed,No formal education,Self employed,Widowed,Yes
13553,Rwanda,2016,No,Rural,Yes,3,25,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13554,Rwanda,2016,No,Rural,No,1,64,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Widowed,Yes
13555,Rwanda,2016,No,Rural,No,8,42,Female,Head of Household,Divorced,No formal education,Self employed,Seperated,Yes
13556,Rwanda,2016,No,Rural,No,9,33,Female,Child,Divorced,Primary education,Informally employed,Seperated,No
13557,Rwanda,2016,No,Urban,Yes,1,69,Female,Head of Household,Widowed,Primary education,Remittance Dependent,Widowed,Yes
13558,Rwanda,2016,No,Rural,Yes,1,56,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13559,Rwanda,2016,No,Rural,Yes,3,29,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13560,Rwanda,2016,No,Urban,Yes,4,40,Female,Spouse,Married,Primary education,Remittance Dependent,Living together,No
13561,Rwanda,2016,No,Rural,Yes,5,26,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13562,Rwanda,2016,No,Rural,Yes,5,33,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13563,Rwanda,2016,No,Rural,No,2,77,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
13564,Rwanda,2016,No,Rural,Yes,4,40,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13565,Rwanda,2016,No,Urban,Yes,4,34,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13566,Rwanda,2016,No,Rural,Yes,7,43,Female,Spouse,Divorced,Primary education,Farming and Fishing,Seperated,No
13567,Rwanda,2016,No,Rural,Yes,3,26,Female,Spouse,Married,Secondary education,Farming and Fishing,Living together,No
13568,Rwanda,2016,No,Rural,Yes,4,30,Male,Head of Household,Married,Primary education,Self employed,Living together,Yes
13569,Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13570,Rwanda,2016,No,Urban,Yes,7,21,Male,Child,Single,Secondary education,Informally employed,Never Married,No
13571,Rwanda,2016,No,Rural,No,4,47,Female,Head of Household,Divorced,No formal education,Informally employed,Seperated,Yes
13572,Rwanda,2016,No,Rural,Yes,5,53,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
13573,Rwanda,2016,No,Rural,Yes,5,34,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13574,Rwanda,2016,No,Rural,Yes,4,30,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13575,Rwanda,2016,No,Rural,Yes,3,65,Female,Head of Household,Widowed,Primary education,Self employed,Widowed,Yes
13576,Rwanda,2016,Yes,Rural,Yes,4,38,Male,Head of Household,Married,Tertiary education,Formally employed Government,Living together,Yes
13577,Rwanda,2016,No,Urban,Yes,6,41,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13578,Rwanda,2016,No,Rural,Yes,3,56,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13579,Rwanda,2016,No,Rural,Yes,2,25,Male,Child,Single,No formal education,Farming and Fishing,Never Married,No
13580,Rwanda,2016,No,Rural,Yes,5,34,Male,Head of Household,Married,No formal education,Informally employed,Living together,Yes
13581,Rwanda,2016,No,Rural,Yes,4,53,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
13582,Rwanda,2016,No,Rural,Yes,3,80,Female,Head of Household,Divorced,No formal education,Other Income,Seperated,Yes
13583,Rwanda,2016,No,Rural,Yes,5,33,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13584,Rwanda,2016,No,Rural,Yes,2,25,Male,Child,Single,Primary education,Informally employed,Never Married,No
13585,Rwanda,2016,No,Rural,No,3,23,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13586,Rwanda,2016,No,Rural,Yes,7,49,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
13587,Rwanda,2016,No,Rural,Yes,2,20,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13588,Rwanda,2016,No,Rural,Yes,5,54,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13589,Rwanda,2016,No,Rural,Yes,3,22,Male,Child,Single,Secondary education,Farming and Fishing,Never Married,No
13590,Rwanda,2016,No,Rural,Yes,6,19,Female,Child,Single,Secondary education,Formally employed Government,Never Married,No
13591,Rwanda,2016,No,Rural,Yes,6,48,Female,Spouse,Married,Secondary education,Farming and Fishing,Living together,No
13592,Rwanda,2016,No,Rural,Yes,5,35,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13593,Rwanda,2016,No,Rural,Yes,3,46,Male,Spouse,Married,No formal education,Informally employed,Living together,No
13594,Rwanda,2016,No,Rural,No,5,33,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
13595,Rwanda,2016,No,Rural,Yes,4,38,Female,Child,Divorced,No formal education,Informally employed,Seperated,No
13596,Rwanda,2016,No,Rural,No,1,39,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13597,Rwanda,2016,No,Urban,Yes,3,30,Female,Head of Household,Divorced,Primary education,Self employed,Seperated,Yes
13598,Rwanda,2016,No,Rural,Yes,4,27,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13599,Rwanda,2016,No,Rural,Yes,8,35,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13600,Rwanda,2016,No,Rural,No,1,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13601,Rwanda,2016,No,Rural,No,5,16,Female,Child,Single,No formal education,Farming and Fishing,Never Married,No
13602,Rwanda,2016,No,Urban,Yes,3,26,Female,Head of Household,Single,Primary education,Self employed,Never Married,Yes
13603,Rwanda,2016,No,Rural,Yes,3,40,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13604,Rwanda,2016,No,Rural,Yes,5,51,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13605,Rwanda,2016,Yes,Rural,Yes,3,55,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13606,Rwanda,2016,No,Rural,No,5,53,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13607,Rwanda,2016,No,Rural,No,3,32,Female,Head of Household,Married,Secondary education,Informally employed,Living together,Yes
13608,Rwanda,2016,No,Rural,Yes,6,19,Male,Parent,Single,Secondary education,Farming and Fishing,Never Married,No
13609,Rwanda,2016,No,Rural,Yes,4,43,Female,Head of Household,Married,Secondary education,Informally employed,Living together,Yes
13610,Rwanda,2016,Yes,Urban,Yes,5,61,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13611,Rwanda,2016,No,Rural,Yes,7,44,Female,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13612,Rwanda,2016,Yes,Rural,Yes,3,24,Male,Child,Single,Primary education,Self employed,Never Married,No
13613,Rwanda,2016,No,Rural,Yes,6,34,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13614,Rwanda,2016,No,Rural,Yes,5,45,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
13615,Rwanda,2016,No,Rural,No,1,75,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13616,Rwanda,2016,No,Rural,No,2,23,Male,Parent,Divorced,No formal education,Farming and Fishing,Seperated,No
13617,Rwanda,2016,No,Rural,No,1,87,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Widowed,Yes
13618,Rwanda,2016,No,Rural,Yes,4,31,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13619,Rwanda,2016,No,Urban,Yes,7,36,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13620,Rwanda,2016,No,Rural,Yes,5,68,Female,Head of Household,Widowed,No formal education,Dont Know/Refuse to answer,Widowed,Yes
13621,Rwanda,2016,No,Rural,No,6,17,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
13622,Rwanda,2016,Yes,Urban,Yes,2,22,Female,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
13623,Rwanda,2016,No,Rural,Yes,5,16,Male,Child,Single,Primary education,Informally employed,Never Married,No
13624,Rwanda,2016,No,Rural,Yes,6,30,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13625,Rwanda,2016,No,Rural,Yes,3,26,Female,Spouse,Married,Primary education,Informally employed,Living together,No
13626,Rwanda,2016,No,Urban,Yes,4,29,Female,Spouse,Married,Tertiary education,Remittance Dependent,Living together,No
13627,Rwanda,2016,No,Urban,Yes,3,23,Female,Parent,Single,Secondary education,Farming and Fishing,Never Married,No
13628,Rwanda,2016,No,Rural,Yes,1,88,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13629,Rwanda,2016,No,Rural,Yes,7,43,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13630,Rwanda,2016,No,Rural,Yes,4,34,Female,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
13631,Rwanda,2016,No,Rural,Yes,7,32,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13632,Rwanda,2016,No,Rural,Yes,3,30,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13633,Rwanda,2016,No,Rural,No,1,67,Female,Head of Household,Widowed,No formal education,Government Dependent,Widowed,Yes
13634,Rwanda,2016,No,Rural,Yes,4,35,Female,Head of Household,Single,Secondary education,Self employed,Never Married,Yes
13635,Rwanda,2016,No,Rural,No,5,37,Female,Spouse,Married,No formal education,Informally employed,Living together,No
13636,Rwanda,2016,No,Rural,Yes,5,49,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
13637,Rwanda,2016,No,Rural,Yes,3,20,Female,Child,Single,Secondary education,Farming and Fishing,Never Married,No
13638,Rwanda,2016,No,Rural,Yes,4,28,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13639,Rwanda,2016,No,Rural,Yes,4,38,Male,Head of Household,Married,Secondary education,Informally employed,Living together,Yes
13640,Rwanda,2016,No,Rural,Yes,3,35,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
13641,Rwanda,2016,Yes,Rural,Yes,3,67,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13642,Rwanda,2016,No,Rural,Yes,2,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13643,Rwanda,2016,No,Rural,Yes,4,55,Female,Head of Household,Divorced,Primary education,Farming and Fishing,Seperated,Yes
13644,Rwanda,2016,No,Rural,Yes,2,73,Male,Head of Household,Married,No formal education,Remittance Dependent,Living together,Yes
13645,Rwanda,2016,No,Urban,Yes,5,34,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
13646,Rwanda,2016,No,Rural,No,3,37,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
13647,Rwanda,2016,Yes,Rural,Yes,5,33,Male,Head of Household,Married,Primary education,Self employed,Living together,Yes
13648,Rwanda,2016,No,Rural,Yes,3,25,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13649,Rwanda,2016,No,Rural,Yes,7,42,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13650,Rwanda,2016,No,Rural,Yes,4,45,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
13651,Rwanda,2016,No,Rural,Yes,1,66,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
13652,Rwanda,2016,No,Rural,Yes,5,35,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13653,Rwanda,2016,No,Rural,Yes,8,16,Female,Child,Single,Secondary education,Informally employed,Never Married,No
13654,Rwanda,2016,No,Rural,Yes,3,28,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
13655,Rwanda,2016,No,Rural,No,4,27,Male,Head of Household,Married,No formal education,Informally employed,Living together,Yes
13656,Rwanda,2016,No,Urban,Yes,5,16,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
13657,Rwanda,2016,No,Rural,Yes,6,16,Male,Child,Single,Primary education,Farming and Fishing,Never Married,No
13658,Rwanda,2016,Yes,Rural,Yes,3,27,Female,Spouse,Married,Secondary education,Farming and Fishing,Living together,No
13659,Rwanda,2016,No,Rural,Yes,7,24,Male,Child,Single,Primary education,Self employed,Never Married,No
13660,Rwanda,2016,No,Rural,No,4,56,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
13661,Rwanda,2016,Yes,Urban,Yes,7,37,Female,Spouse,Married,Tertiary education,Remittance Dependent,Living together,No
13662,Rwanda,2016,No,Rural,Yes,4,44,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
13663,Rwanda,2016,No,Rural,No,3,71,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Widowed,Yes
13664,Rwanda,2016,No,Rural,Yes,4,24,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
